GoodsID,ProductCode,Barcode,Name,Note,CurrStock,RetailPrice,LastInCost,AvgCost,Category,InboundLocation,Supplier
10026,SKU-62782-JK,0385977034822,TYPE-TU39,,3,175.63,96.7,96.7,CAT-0026,LOC-0004,Supplier-0061
10027,SKU-74225-CN,4771093248087,TYPE-ZP37,,6,138.16,81.75,81.75,CAT-0026,LOC-0004,Supplier-0061
10028,SKU-05072-MY,6131712748462,TYPE-QI72,,0,205.95,116.33,116.33,CAT-0026,LOC-0004,Supplier-0050
10030,SKU-77219-BY,7737826398211,TYPE-LZ96,,-6,30.74,13.17,13.17,CAT-0050,LOC-0004,Supplier-0023
10031,SKU-34043-IS,4658404499720,TYPE-IG53,,7,16.62,8.8,8.8,CAT-0075,LOC-0004,Supplier-0051
10032,SKU-27978-GH,7875588675338,TYPE-WD71,,5,18.61,13.95,13.95,CAT-0010,LOC-0004,Supplier-0039
10034,SKU-07836-GV,9636057662703,TYPE-EY69,,4,13.83,8.4,8.4,CAT-0073,LOC-0004,Supplier-0033
10035,SKU-34074-WF,2895171870266,TYPE-DH69,,3,42.91,25.84,25.84,CAT-0065,LOC-0004,Supplier-0049
10036,SKU-71339-SW,2174596158655,TYPE-AR48,,991,11.08,7.5,7.5,CAT-0042,LOC-0004,Supplier-0049
10037,SKU-96292-YN,7809134316116,TYPE-WR18,,2,88.14,47.53,47.53,CAT-0020,LOC-0004,Supplier-0049
10038,SKU-30958-RM,7240050455624,TYPE-SB51,,3,114.02,60.13,60.13,CAT-0034,LOC-0004,Supplier-0049
10039,SKU-82544-KR,3869222196932,TYPE-AU27,,0,44.85,25.63,25.63,CAT-0019,LOC-0004,Supplier-0049
10040,SKU-81260-RP,7923747407488,TYPE-WL48,,1,125.76,87.74,87.74,CAT-0049,LOC-0004,Supplier-0035
10041,SKU-22325-PW,2175946474364,TYPE-OT81,,2,55.52,31.22,31.22,CAT-0037,LOC-0004,Supplier-0035
10042,SKU-67294-OA,7136959440642,TYPE-MJ89,,3,23.76,12.96,12.96,CAT-0010,LOC-0004,Supplier-0019
10043,SKU-67116-GV,0909743953393,TYPE-IX52,,84,5.09,2.5,2.5,CAT-0050,LOC-0004,Supplier-0046
10044,SKU-45775-LA,4210470952143,TYPE-MU80,,0,38.52,22.2,22.2,CAT-0083,LOC-0004,Supplier-0045
10045,SKU-17518-ZN,5623285884247,TYPE-HX70,,0,61.7,34.33,34.33,CAT-0039,LOC-0004,Supplier-0045
10046,SKU-63745-SV,7451712368514,TYPE-DP43,,0,56.34,31.03,31.03,CAT-0019,LOC-0004,Supplier-0045
10047,SKU-89297-YV,6048175496512,TYPE-FU91,,-1,10.98,5.54,5.54,CAT-0032,LOC-0004,Supplier-0045
10048,SKU-00170-HK,3709859317464,TYPE-WI71,,1,9.66,5.0,5.0,CAT-0052,LOC-0004,Supplier-0045
10049,SKU-77063-SI,1200471138267,TYPE-QE22,,0,98.43,76.64,76.9,CAT-0083,LOC-0004,Supplier-0004
10050,SKU-42415-QF,7586926179646,TYPE-QH82,,2,13.2,7.28,7.28,CAT-0022,LOC-0004,Supplier-0004
10051,SKU-52064-US,0537735158503,TYPE-NI96,,-3,21.68,14.13,14.13,CAT-0083,LOC-0004,Supplier-0004
10052,SKU-36110-NE,6431713900532,TYPE-ZQ34,,5,37.9,24.24,24.24,CAT-0083,LOC-0004,Supplier-0022
10053,SKU-12938-RC,2931839335293,TYPE-HC57,,1000,41.57,27.07,27.07,CAT-0002,LOC-0004,Supplier-0020
10054,SKU-00516-SI,0422842102054,TYPE-OE13,,26,10.82,3.79,3.79,CAT-0002,LOC-0004,Supplier-0020
10056,SKU-11554-IY,3950240268111,TYPE-OA39,,25,14.75,8.11,8.11,CAT-0015,LOC-0004,Supplier-0006
10057,SKU-22189-AN,7758917839086,TYPE-OE10,,3,12.33,7.4,7.4,CAT-0024,LOC-0004,Supplier-0033
10058,SKU-27532-AN,4700766177119,TYPE-EG05,,4,17.12,8.47,8.47,CAT-0005,LOC-0004,Supplier-0033
10059,SKU-73112-WH,5921249985697,TYPE-QF34,,4,15.22,7.87,7.87,CAT-0083,LOC-0004,Supplier-0033
10060,SKU-96565-YI,8478961183674,TYPE-IU38,,4,84.32,51.23,51.23,CAT-0057,LOC-0004,Supplier-0033
10061,SKU-34138-MM,3657661565453,TYPE-EP99,,10,17.79,6.52,6.52,CAT-0045,LOC-0004,Supplier-0029
10062,SKU-94043-HM,2711116152801,TYPE-MG76,,0,223.69,143.65,143.65,CAT-0080,LOC-0004,Supplier-0053
10063,SKU-83640-YY,9885165604949,TYPE-WB16,,0,14.38,8.63,8.63,CAT-0085,LOC-0004,Supplier-0005
10064,SKU-37613-FO,5198327315855,TYPE-UD67,,4,15.81,4.74,4.74,CAT-0065,LOC-0002,Supplier-0043
10065,SKU-91805-UI,1493689980944,TYPE-ZU10,,2,15.32,6.13,6.13,CAT-0065,LOC-0002,Supplier-0043
10066,SKU-69658-RL,0244550229614,TYPE-PM51,,996,4.09,1.54,1.54,CAT-0032,LOC-0002,Supplier-0038
10067,SKU-71091-AQ,2018366752547,TYPE-CI38,,9,118.88,65.8,65.8,CAT-0025,LOC-0004,Supplier-0014
10068,SKU-30068-SO,5991022901473,TYPE-RD62,,30,6.5,3.41,3.41,CAT-0002,LOC-0004,Supplier-0020
10069,SKU-86661-OI,6797643815613,TYPE-CZ31,,-7,7.8,2.92,2.92,CAT-0002,LOC-0004,Supplier-0020
10070,SKU-89241-TF,4978403690035,TYPE-DP81,,1005,31.0,13.29,13.29,CAT-0002,LOC-0004,Supplier-0020
10073,SKU-61799-DT,4324451076220,TYPE-ZD73,,0,30.38,21.39,21.39,CAT-0027,LOC-0004,Supplier-0018
10074,SKU-21020-KF,6838851606072,TYPE-AY26,,15,35.4,25.34,25.34,CAT-0027,LOC-0004,Supplier-0018
10075,SKU-58842-XI,1596966416058,TYPE-SB47,,8,135.97,82.13,82.13,CAT-0072,LOC-0004,Supplier-0016
10076,SKU-41056-RH,0000000000000,五金家品雜項,,802696,0.0,0.0,0.0,CAT-0001,LOC-0001,Supplier-0001
10077,SKU-14917-DG,2975161369687,TYPE-JM87,,4,38.33,20.94,20.94,CAT-0086,LOC-0004,Supplier-0004
10078,SKU-50792-XK,0000000000000,膠袋徵費,,93906,1.02,0.0,0.0,CAT-0001,LOC-0001,Supplier-0001
10079,SKU-41913-VG,1645352181886,TYPE-DL43,,10,32.29,14.03,14.03,CAT-0062,LOC-0002,Supplier-0040
10080,SKU-00030-EX,3552312432927,TYPE-VU80,,15,10.66,3.73,3.73,CAT-0010,LOC-0002,Supplier-0008
10081,SKU-62208-ZT,1277997995520,TYPE-LE00,,3,8.66,2.7,2.7,CAT-0060,LOC-0002,Supplier-0024
10083,SKU-41951-GR,7177449058145,TYPE-LE81,,2,301.64,199.36,199.36,CAT-0068,LOC-0004,Supplier-0004
10084,SKU-02380-ZE,7700541199869,TYPE-RP91,,-5,39.65,20.23,20.23,CAT-0050,LOC-0004,Supplier-0023
10085,SKU-74451-JD,7980793597822,TYPE-KP61,,4,54.34,32.08,32.08,CAT-0065,LOC-0004,Supplier-0022
10086,SKU-05349-YT,0715182037781,TYPE-CN99,,3,15.79,8.72,8.72,CAT-0063,LOC-0004,Supplier-0022
10087,SKU-93759-FX,8925546659050,TYPE-QL16,,0,41.36,22.9,22.9,CAT-0073,LOC-0004,Supplier-0009
10088,SKU-38320-AB,1518644925195,TYPE-UQ98,,2,13.83,6.57,6.57,CAT-0059,LOC-0004,Supplier-0004
10090,SKU-64138-PA,2546291486522,TYPE-QP62,,2,30.56,18.87,18.87,CAT-0083,LOC-0004,Supplier-0004
10091,SKU-70241-CO,8168505423570,TYPE-UW47,,999,106.77,46.92,46.92,CAT-0008,LOC-0004,Supplier-0025
10092,SKU-86571-LG,3322141888055,TYPE-DN10,,12,5.87,2.94,2.94,CAT-0011,LOC-0004,Supplier-0036
10093,SKU-82619-KD,9296222927060,TYPE-EI91,,1,14.29,8.19,8.19,CAT-0083,LOC-0004,Supplier-0049
10094,SKU-62344-UZ,5379473834739,TYPE-QI38,,4,292.75,183.66,183.66,CAT-0053,LOC-0004,Supplier-0042
10095,SKU-65574-OE,5977468862394,TYPE-PX51,,1,30.51,10.86,10.86,CAT-0018,LOC-0002,Supplier-0037
10096,SKU-32912-GK,2407581814121,TYPE-CI42,,2,54.79,30.23,30.23,CAT-0067,LOC-0004,Supplier-0013
10097,SKU-77561-IW,4782613750607,TYPE-ZP49,,7,132.77,52.61,52.61,CAT-0047,LOC-0002,Supplier-0029
10098,SKU-37474-HF,6853615305152,TYPE-QJ80,,2,190.62,127.08,127.08,CAT-0070,LOC-0004,Supplier-0035
10100,SKU-13568-DR,2204727790109,TYPE-VJ11,,-7,68.64,26.53,26.53,CAT-0081,LOC-0003,Supplier-0021
10101,SKU-44206-CJ,4328986143419,TYPE-SM24,,2,80.99,40.82,40.82,CAT-0025,LOC-0004,Supplier-0014
10102,SKU-83171-ZY,0369711798089,TYPE-NR35,,-53,13.6,6.8,6.8,CAT-0069,LOC-0004,Supplier-0021
10103,SKU-21003-IM,9324609539626,TYPE-FQ48,,4,24.94,13.66,13.66,CAT-0084,LOC-0004,Supplier-0049
10104,SKU-65199-QE,1851888880678,TYPE-OB01,,2,554.64,348.46,348.46,CAT-0054,LOC-0004,Supplier-0004
10105,SKU-01372-FZ,0654051531954,TYPE-AV40,,13,29.34,16.31,16.31,CAT-0075,LOC-0004,Supplier-0051
10106,SKU-51070-KK,2058527722170,TYPE-KV24,,-3,27.43,12.25,12.25,CAT-0050,LOC-0004,Supplier-0023
10108,SKU-25324-RC,0430305486870,TYPE-HE80,,4,24.32,9.86,9.86,CAT-0004,LOC-0002,Supplier-0043
10109,SKU-20999-PP,4034505415669,TYPE-CX28,,5,84.76,52.34,52.34,CAT-0043,LOC-0004,Supplier-0012
10110,SKU-47687-DF,7652775841611,TYPE-JB98,,1,20.63,8.37,8.37,CAT-0030,LOC-0002,Supplier-0060
10111,SKU-46263-PZ,6928451154476,TYPE-TX20,,-7,8.81,6.34,6.34,CAT-0030,LOC-0004,Supplier-0011
10112,SKU-83806-YT,9627570596408,TYPE-NR05,,1,6.46,2.44,2.44,CAT-0058,LOC-0002,Supplier-0038
10113,SKU-57875-KG,1658202970219,TYPE-WX31,,9,12.38,4.7,4.7,CAT-0079,LOC-0002,Supplier-0008
10114,SKU-56420-UM,3556909275577,TYPE-NV86,,5,24.38,9.19,9.19,CAT-0030,LOC-0002,Supplier-0040
10115,SKU-30407-HW,1928565431024,TYPE-KZ23,,1,22.85,9.46,9.46,CAT-0030,LOC-0002,Supplier-0032
10116,SKU-93213-QP,7868144739476,TYPE-BL26,,0,22.07,9.14,9.14,CAT-0030,LOC-0002,Supplier-0032
10118,SKU-52239-UZ,3121727155181,TYPE-KY34,,1000,6.81,2.45,2.45,CAT-0055,LOC-0002,Supplier-0040
10119,SKU-59059-KJ,8442258313235,TYPE-CE16,,1000,91.43,36.57,36.57,CAT-0057,LOC-0002,Supplier-0040
10120,SKU-93784-LF,7058957829116,TYPE-DW33,,5,19.64,6.47,6.47,CAT-0083,LOC-0002,Supplier-0040
10121,SKU-01039-OB,4678669125172,TYPE-OB43,,1000,10.6,4.56,4.56,CAT-0033,LOC-0002,Supplier-0040
10122,SKU-87059-MZ,7852892268012,TYPE-VR36,,25,6.67,2.7,2.7,CAT-0038,LOC-0002,Supplier-0008
10123,SKU-25250-BJ,8242253584148,TYPE-WP14,,995,23.19,13.92,13.92,CAT-0058,LOC-0004,Supplier-0005
10124,SKU-92185-EX,3842498182991,TYPE-RI86,,-2,11.43,6.86,6.86,CAT-0087,LOC-0004,Supplier-0005
10125,SKU-69154-UI,2299590010942,TYPE-HQ50,,5,27.93,19.84,19.84,CAT-0027,LOC-0004,Supplier-0018
10126,SKU-26752-TJ,3969078447360,TYPE-QC29,,15,16.78,8.39,8.39,CAT-0016,LOC-0004,Supplier-0017
10127,SKU-95392-YT,4710276773596,TYPE-BW19,,997,38.6,27.45,27.45,CAT-0002,LOC-0004,Supplier-0039
10128,SKU-42209-ZX,2555625881537,TYPE-MG56,,0,74.04,44.59,44.59,CAT-0076,LOC-0004,Supplier-0033
10129,SKU-90295-ZN,7147321046966,TYPE-KM16,,-2,15.53,5.59,5.59,CAT-0046,LOC-0002,Supplier-0008
10130,SKU-39172-VV,3259532787744,TYPE-TB40,,7,91.16,60.78,60.78,CAT-0077,LOC-0004,Supplier-0035
10131,SKU-13552-OF,7016873395009,TYPE-ZI08,,2,16.38,9.48,9.48,CAT-0070,LOC-0004,Supplier-0033
10132,SKU-57043-PS,4797480162453,TYPE-BE35,,0,18.58,12.39,12.39,CAT-0044,LOC-0004,Supplier-0047
10134,SKU-76267-YW,6506098358411,TYPE-GT14,,4,17.62,9.53,9.53,CAT-0083,LOC-0004,Supplier-0049
10135,SKU-86179-PW,6878499121650,TYPE-ZS65,,5,15.37,8.58,8.58,CAT-0051,LOC-0004,Supplier-0049
10136,SKU-32710-SB,5852398680006,TYPE-IM48,,-1,113.61,65.09,65.09,CAT-0053,LOC-0004,Supplier-0042
10137,SKU-54115-KY,2578729825955,TYPE-RV66,,3,137.02,84.4,84.4,CAT-0026,LOC-0004,Supplier-0061
10138,SKU-21815-MN,2694958887943,TYPE-KT29,,1,50.09,13.36,13.36,CAT-0018,LOC-0004,Supplier-0005
10139,SKU-70629-BK,7055169409747,TYPE-AT68,,12,26.66,14.16,14.16,CAT-0039,LOC-0004,Supplier-0009
10141,SKU-88444-PG,9930972896237,TYPE-PU99,,0,148.45,50.21,50.21,CAT-0088,LOC-0003,Supplier-0059
10142,SKU-06987-JD,0913075626368,TYPE-CR77,,8,9.4,3.36,3.36,CAT-0058,LOC-0002,Supplier-0030
10143,SKU-50614-QO,8970283857863,TYPE-EY38,,0,21.6,14.04,14.04,CAT-0032,LOC-0004,Supplier-0052
10144,SKU-97310-NK,5278585497330,TYPE-SG21,,17,44.52,14.53,14.53,CAT-0065,LOC-0002,Supplier-0031
10145,SKU-41714-YZ,4843443757584,TYPE-FW95,,-1,13.6,9.79,9.79,CAT-0056,LOC-0004,Supplier-0044
10147,SKU-56527-CQ,4419866524043,TYPE-BC32,,0,190.56,89.74,89.74,CAT-0026,LOC-0004,Supplier-0016
10148,SKU-77434-KD,1574733848424,TYPE-NX37,,0,17.56,10.24,10.24,CAT-0010,LOC-0004,Supplier-0012
10149,SKU-21158-AW,1993308330162,TYPE-AO17,,3,55.8,33.4,33.4,CAT-0086,LOC-0004,Supplier-0012
10150,SKU-93806-HA,5712082677340,TYPE-TS93,,-27,21.48,0.0,0.0,CAT-0021,LOC-0004,Supplier-0003
10151,SKU-87937-TF,5401938026202,TYPE-ZP67,,-8,68.35,22.24,22.24,CAT-0026,LOC-0003,Supplier-0041
10152,SKU-60898-ZK,6724004991549,TYPE-WX20,,0,55.65,35.83,35.83,CAT-0034,LOC-0004,Supplier-0049
10153,SKU-92172-KN,7887287431528,TYPE-OL16,,3,39.84,12.26,12.26,CAT-0007,LOC-0003,Supplier-0002
10154,SKU-32061-RB,7420549329661,TYPE-DJ87,,3,23.62,8.7,8.7,CAT-0006,LOC-0003,Supplier-0002
10155,SKU-32945-UZ,8516122753042,TYPE-DI31,,1,116.51,67.98,67.98,CAT-0061,LOC-0003,Supplier-0002
10156,SKU-11686-JU,6374549904537,TYPE-JM78,,0,44.71,27.47,27.47,CAT-0035,LOC-0004,Supplier-0055
10157,SKU-48709-LH,0174268414593,TYPE-NU57,,3,15.96,9.57,9.57,CAT-0087,LOC-0004,Supplier-0005
10158,SKU-61622-KL,3327279568787,TYPE-JC86,,5,16.36,9.82,9.82,CAT-0087,LOC-0004,Supplier-0005
10159,SKU-91191-YS,3391878519105,TYPE-CQ27,,-15,120.71,46.51,46.51,CAT-0029,LOC-0003,Supplier-0010
10160,SKU-85646-PF,8839822587138,TYPE-XX34,,6,92.74,60.7,60.7,CAT-0054,LOC-0004,Supplier-0013
10161,SKU-99702-RZ,9718707286795,TYPE-OP87,,3,302.1,169.13,169.13,CAT-0089,LOC-0004,Supplier-0050
10162,SKU-29960-ZV,0874064039104,TYPE-ET47,,998,132.92,48.17,48.17,CAT-0026,LOC-0003,Supplier-0041
10163,SKU-30745-BV,6518017046224,TYPE-RV43,,-2,39.93,0.08,0.08,CAT-0050,LOC-0004,Supplier-0055
10164,SKU-44471-OI,6567661825129,TYPE-FI58,,3,16.35,9.71,9.71,CAT-0071,LOC-0004,Supplier-0049
10165,SKU-47546-MP,8682300478684,TYPE-YS23,,4,55.95,18.21,18.21,CAT-0064,LOC-0003,Supplier-0002
10166,SKU-13736-VF,6337524310693,TYPE-EA23,,4,20.37,10.19,10.19,CAT-0028,LOC-0004,Supplier-0034
10167,SKU-85082-ET,0331190790304,TYPE-ID65,,0,55.04,0.11,0.11,CAT-0050,LOC-0004,Supplier-0023
10168,SKU-86289-BL,6738302843950,TYPE-NA60,,3,138.1,69.51,69.51,CAT-0026,LOC-0004,Supplier-0061
10169,SKU-33030-DD,9953428364401,TYPE-SB69,,9,14.17,8.86,8.86,CAT-0017,LOC-0004,Supplier-0049
10170,SKU-53457-GZ,8926870568568,TYPE-EA96,,59,11.91,4.62,4.62,CAT-0030,LOC-0002,Supplier-0057
10171,SKU-10357-MC,6246287334276,TYPE-WY54,,2,18.11,5.83,5.83,CAT-0030,LOC-0002,Supplier-0031
10172,SKU-27985-WK,0866882634357,TYPE-VV68,,3,11.73,4.11,4.11,CAT-0063,LOC-0002,Supplier-0024
10173,SKU-41406-DK,1751830469909,TYPE-OF89,,1,79.86,31.0,31.0,CAT-0053,LOC-0002,Supplier-0030
10174,SKU-93333-RP,1398373540339,TYPE-BF34,,989,2.6,1.82,1.82,CAT-0030,LOC-0002,Supplier-0029
10175,SKU-68007-IP,1739363854676,TYPE-VQ06,,5,53.17,21.68,23.41,CAT-0014,LOC-0002,Supplier-0008
10176,SKU-29034-MZ,8544587717538,TYPE-DI62,,-1,56.49,22.44,22.44,CAT-0030,LOC-0002,Supplier-0031
10177,SKU-44665-DQ,5560932048990,TYPE-BZ98,,9,11.97,2.73,2.73,CAT-0058,LOC-0002,Supplier-0028
10178,SKU-37489-ZL,6423536937857,TYPE-QB99,,26,4.05,1.04,1.04,CAT-0011,LOC-0002,Supplier-0028
10179,SKU-10858-PM,4777252287287,TYPE-ID16,,8,24.19,13.19,13.19,CAT-0032,LOC-0004,Supplier-0058
10180,SKU-94417-EV,0801006231203,TYPE-QY20,,-1,63.6,0.0,0.0,CAT-0078,LOC-0004,Supplier-0018
10181,SKU-45444-MJ,3875099770083,TYPE-DU53,,3,40.51,17.36,17.36,CAT-0039,LOC-0004,Supplier-0005
10182,SKU-83096-QU,8600848408628,TYPE-RW56,,7,12.09,6.25,6.25,CAT-0075,LOC-0004,Supplier-0051
10183,SKU-20744-AZ,1182339845466,TYPE-FE64,,5,63.92,27.79,27.79,CAT-0031,LOC-0004,Supplier-0005
10184,SKU-60993-VU,1567933410164,TYPE-DW08,,45,19.96,15.63,15.63,CAT-0041,LOC-0004,Supplier-0054
10185,SKU-38758-TK,6687002176595,TYPE-XP31,,2,10.65,3.51,3.52,CAT-0033,LOC-0002,Supplier-0040
10186,SKU-82417-IV,1803397401486,TYPE-PM00,,5,11.39,2.74,2.37,CAT-0048,LOC-0002,Supplier-0040
10187,SKU-48251-OW,9025039261421,TYPE-JP09,,9,41.05,21.2,21.2,CAT-0040,LOC-0004,Supplier-0007
10188,SKU-34655-QL,9396856218500,TYPE-QH27,,-2,0.0,0.0,0.0,CAT-0082,LOC-0003,Supplier-0026
10189,SKU-47170-OL,1631599965044,TYPE-DS93,,12,29.86,15.96,15.96,CAT-0058,LOC-0004,Supplier-0058
10190,SKU-99173-GH,7735866296191,TYPE-KM45,,9,116.3,0.12,0.12,CAT-0006,LOC-0004,Supplier-0055
10191,SKU-68460-JI,4311426265512,TYPE-XK91,,2,159.56,101.56,101.56,CAT-0050,LOC-0004,Supplier-0055
10192,SKU-35697-JU,1047541212676,TYPE-LB41,,1,58.59,33.96,33.96,CAT-0039,LOC-0004,Supplier-0005
10193,SKU-21752-UO,8886101581998,TYPE-RY49,,4,78.14,45.3,45.3,CAT-0039,LOC-0004,Supplier-0005
10194,SKU-00743-WX,5604661839822,TYPE-EL63,,38,7.75,3.1,3.1,CAT-0011,LOC-0002,Supplier-0056
10195,SKU-29271-IN,6224447212640,TYPE-SX31,,2,8.72,2.62,2.62,CAT-0045,LOC-0002,Supplier-0048
10196,SKU-66667-YA,6471543799371,TYPE-ZH49,,13,19.76,8.61,8.61,CAT-0012,LOC-0002,Supplier-0048
10197,SKU-08350-UW,1240659657562,TYPE-WI90,,12,44.84,25.49,25.49,CAT-0078,LOC-0004,Supplier-0018
10198,SKU-83003-OS,9245937526549,TYPE-EG65,,6,21.96,8.33,8.33,CAT-0030,LOC-0002,Supplier-0030
10199,SKU-54216-GL,7935646519391,TYPE-AF50,,7,100.73,58.91,58.91,CAT-0087,LOC-0004,Supplier-0044
